ID,Name,Comics,Series,Events,Stories,Class
1009424,Marauders,29,16,2,33,Villain_X-Men
1009171,Bastion,37,20,2,37,Villain_X-Men
1009407,Loki,493,184,9,559,Villain_Avengers
1009685,Ultron,118,54,6,131,Villain_Avengers
1011076,Grandmaster,11,10,0,11,Villain_Avengers
1011444,Living Laser,26,16,2,30,Villain_Avengers
1009535,Red Skull,178,90,7,213,Villain_Avengers
1011022,Super-Adaptoid,12,9,0,15,Villain_Avengers
1009252,Crossbones,48,24,2,63,Villain_Avengers
1010352,Madame Masque,41,18,3,46,Villain_Avengers
1011138,Beyonder,25,13,2,24,Villain_Avengers
1009148,Absorbing Man,102,52,5,114,Villain_Avengers
1010726,M.O.D.O.K.,54,32,2,65,Villain_Avengers
1011421,Lethal Legion,14,9,1,11,Villain_Avengers
1009384,Kang,155,66,3,180,Villain_Avengers
1011265,Sinister Six,34,11,1,39,Villain_Avengers
1009537,Rhino,75,46,2,86,Villain_Avengers
1010715,The Hood,41,14,3,43,Villain_Avengers
1009328,Grim Reaper,33,18,1,32,Villain_Avengers
1011279,Masters of Evil,24,8,0,23,Villain_Avengers
1009599,Skrulls,156,66,5,165,Villain_Avengers
1011482,Hela,63,31,5,76,Villain_Avengers
1009648,Taskmaster,112,49,6,133,Villain_Avengers
1011312,Korvac,15,9,0,17,Villain_Avengers
1009382,Juggernaut,214,92,9,241,Villain_Avengers
1009390,Klaw,58,30,2,62,Villain_Avengers
1009144,A.I.M.,53,36,0,57,Villain_Avengers
1011315,U-Foes,5,4,1,7,Villain_Avengers
1009652,Thanos,296,143,8,322,Villain_Avengers
1009199,Blob,78,33,7,81,Villain_Avengers
